Node,Depth,Value
root,0,-Infinity
A2,1,Infinity
B2,2,-Infinity
A3,3,2
B2,2,2
A4,3,2
B2,2,2
A5,3,-Infinity
A2,3,-Infinity
A3,3,4
A2,3,4
A4,3,4
A2,3,4
A6,3,4
A2,3,4
A7,3,3
A2,3,4
A5,3,4
A3,3,3
A5,3,4
A4,3,3
A5,3,4
A6,3,2
A5,3,4
A7,3,2
A5,3,4
B2,2,4
A6,3,2
B2,2,4
A7,3,1
B2,2,4
A2,1,4
B3,2,Infinity
B2,2,-Infinity
A3,3,1
B2,2,1
A4,3,1
B2,2,1
A5,3,-Infinity
A2,3,-Infinity
A3,3,3
A2,3,3
A4,3,3
A2,3,3
A6,3,3
A2,3,3
A7,3,2
A2,3,3
A5,3,3
A3,3,2
A5,3,3
A4,3,2
A5,3,3
A6,3,1
A5,3,3
A7,3,1
A5,3,3
B2,2,3
A6,3,1
B2,2,3
A7,3,0
B2,2,3
B3,2,3
B4,2,-Infinity
A3,3,0
B4,2,0
A4,3,0
B4,2,0
A5,3,-Infinity
A2,3,-Infinity
A3,3,2
A2,3,2
A4,3,2
A2,3,2
A6,3,-Infinity
A2,3,-Infinity
A3,3,4
A2,3,4
A4,3,4
A2,3,4
A5,3,3
A2,3,4
A7,3,9
A2,3,9
A6,3,9
A3,3,3
A6,3,9
A4,3,3
A6,3,9
A5,3,2
A6,3,9
A7,3,2
A6,3,9
A2,3,9
A7,3,7
A2,3,9
A5,3,9
A3,3,1
A5,3,9
A4,3,1
A5,3,9
A6,3,-Infinity
A2,3,2
A6,3,2
A3,3,2
A6,3,2
A4,3,2
A6,3,2
A5,3,1
A6,3,2
A7,3,1
A6,3,2
A5,3,9
A7,3,0
A5,3,9
B4,2,9
A6,3,-Infinity
A2,3,-Infinity
A3,3,2
A2,3,2
A4,3,2
A2,3,2
A5,3,2
A2,3,2
A7,3,7
A2,3,7
A6,3,7
A3,3,1
A6,3,7
A4,3,1
A6,3,7
A5,3,1
A6,3,7
A7,3,0
A6,3,7
B4,2,9
A7,3,5
B4,2,9
B3,2,3
B5,2,-Infinity
A3,3,0
B5,2,0
A4,3,0
B5,2,0
A5,3,-Infinity
A2,3,-Infinity
A3,3,2
A2,3,2
A4,3,2
A2,3,2
A6,3,-Infinity
A2,3,-Infinity
A3,3,4
A2,3,4
A4,3,4
A2,3,4
A5,3,3
A2,3,4
A7,3,9
A2,3,9
A6,3,9
A3,3,3
A6,3,9
A4,3,3
A6,3,9
A5,3,2
A6,3,9
A7,3,2
A6,3,9
A2,3,9
A7,3,7
A2,3,9
A5,3,9
A3,3,1
A5,3,9
A4,3,1
A5,3,9
A6,3,-Infinity
A2,3,2
A6,3,2
A3,3,2
A6,3,2
A4,3,2
A6,3,2
A5,3,1
A6,3,2
A7,3,1
A6,3,2
A5,3,9
A7,3,0
A5,3,9
B5,2,9
A6,3,-Infinity
A2,3,-Infinity
A3,3,2
A2,3,2
A4,3,2
A2,3,2
A5,3,2
A2,3,2
A7,3,7
A2,3,7
A6,3,7
A3,3,1
A6,3,7
A4,3,1
A6,3,7
A5,3,1
A6,3,7
A7,3,0
A6,3,7
B5,2,9
A7,3,5
B5,2,9
B3,2,3
B6,2,-Infinity
A3,3,0
B6,2,0
A4,3,0
B6,2,0
A5,3,0
B6,2,0
A6,3,-Infinity
A2,3,-Infinity
A3,3,2
A2,3,2
A4,3,2
A2,3,2
A5,3,2
A2,3,2
A7,3,7
A2,3,7
A6,3,7
A3,3,1
A6,3,7
A4,3,1
A6,3,7
A5,3,1
A6,3,7
A7,3,0
A6,3,7
B6,2,7
A7,3,5
B6,2,7
B3,2,3
B7,2,-Infinity
A3,3,0
B7,2,0
A4,3,0
B7,2,0
A5,3,0
B7,2,0
A6,3,-Infinity
A2,3,-Infinity
A3,3,2
A2,3,2
A4,3,2
A2,3,2
A5,3,2
A2,3,2
A7,3,7
A2,3,7
A6,3,7
A3,3,1
A6,3,7
A4,3,1
A6,3,7
A5,3,1
A6,3,7
A7,3,0
A6,3,7
B7,2,7
A7,3,5
B7,2,7
B3,2,3
A2,1,3
B4,2,-Infinity
A3,3,1
B4,2,1
A4,3,1
B4,2,1
A5,3,-Infinity
A2,3,-Infinity
A3,3,3
A2,3,3
A4,3,3
A2,3,3
A6,3,8
A2,3,8
A7,3,8
A2,3,8
A5,3,8
A3,3,2
A5,3,8
A4,3,2
A5,3,8
A6,3,1
A5,3,8
A7,3,1
A5,3,8
B4,2,8
A6,3,6
B4,2,8
A7,3,6
B4,2,8
A2,1,3
B5,2,-Infinity
A3,3,1
B5,2,1
A4,3,1
B5,2,1
A5,3,-Infinity
A2,3,-Infinity
A3,3,3
A2,3,3
A4,3,3
A2,3,3
A6,3,8
A2,3,8
A7,3,8
A2,3,8
A5,3,8
A3,3,2
A5,3,8
A4,3,2
A5,3,8
A6,3,1
A5,3,8
A7,3,1
A5,3,8
B5,2,8
A6,3,6
B5,2,8
A7,3,6
B5,2,8
A2,1,3
B6,2,-Infinity
A3,3,1
B6,2,1
A4,3,1
B6,2,1
A5,3,-Infinity
A2,3,-Infinity
A3,3,3
A2,3,3
A4,3,3
A2,3,3
A6,3,-Infinity
